Subject	Trial	StimType	StimCategory	Stimulus	KEY	Rating	RT
1	1	standard	PIX	ba_base_pix_w960.avi	2	Medium	2.230
1	2	standard	PL	ba_base_pl_w288.avi	3	Weak	1.722
1	3	standard	AV	ba_base_face_w960.avi	1	Strong	1.829
1	4	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.672
1	5	standard	PL	ba_base_pl_w288.avi	3	Weak	1.448
1	6	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.757
1	7	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.998
1	8	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.517
1	9	standard	AV	ba_base_face_w960.avi	1	Strong	1.673
1	10	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.262
1	11	standard	PL	ba_base_pl_w288.avi	2	Medium	1.564
1	12	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.690
1	13	standard	PL	ba_base_pl_w288.avi	3	Weak	1.932
1	14	standard	PL	ba_base_pl_w288.avi	3	Weak	1.309
1	15	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.683
1	16	oddball	PL	ba_redu_pl_w288.avi	3	Weak	1.739
1	17	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.303
1	18	standard	AV	ba_base_face_w960.avi	1	Strong	1.402
1	19	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.322
1	20	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.199
1	21	standard	AV	ba_base_face_w960.avi	1	Strong	1.356
1	22	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.325
1	23	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.274
1	24	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.331
1	25	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.461
1	26	oddball	PL	ba_redu_pl_w288.avi	3	Weak	1.379
1	27	standard	PL	ba_base_pl_w288.avi	3	Weak	1.372
1	28	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.460
1	29	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.694
1	30	oddball	AV	ba_redu_face_w960.avi	3	Weak	1.570
1	31	standard	PL	ba_base_pl_w288.avi	1	Strong	1.337
1	32	standard	PL	ba_base_pl_w288.avi	2	Medium	1.218
1	33	standard	AV	ba_base_face_w960.avi	2	Medium	1.596
1	34	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.456
1	35	standard	AV	ba_base_face_w960.avi	2	Medium	1.264
1	36	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.193
1	37	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.430
1	38	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.951
1	39	standard	AV	ba_base_face_w960.avi	1	Strong	1.502
1	40	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.439
1	41	standard	PL	ba_base_pl_w288.avi	3	Weak	1.292
1	42	oddball	PL	ba_redu_pl_w288.avi	3	Weak	1.226
1	43	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.618
1	44	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.295
1	45	standard	AV	ba_base_face_w960.avi	1	Strong	1.223
1	46	oddball	PL	ba_redu_pl_w288.avi	2	Medium	1.107
1	47	standard	AV	ba_base_face_w960.avi	1	Strong	1.129
1	48	oddball	PL	ba_redu_pl_w288.avi	3	Weak	1.361
1	49	oddball	PL	ba_redu_pl_w288.avi	3	Weak	1.510
1	50	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.554
1	51	oddball	PL	ba_redu_pl_w288.avi	2	Medium	1.309
1	52	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.320
1	53	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.436
1	54	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.407
